target,model,season,n_games,accuracy,log_loss,mae,ats_pct
total,elo,2020,269,,,11.322009660038061,
total,elo,2021,285,,,11.109627971460549,
total,elo,2022,284,,,11.221947598395545,
total,elo,2023,285,,,10.931939799365573,
total,elo,2024,285,,,10.128393910061902,
total,elo,2025,285,,,10.989540295694704,
total,elo,2026,30,,,12.791687845920455,
total,home_team,2017,267,,,11.508792961446042,
total,home_team,2018,267,,,11.34994834415095,
total,home_team,2019,267,,,11.130770463714182,
total,home_team,2020,269,,,11.297369333382992,
total,home_team,2021,285,,,11.079552003602682,
total,home_team,2022,284,,,11.235779556505832,
total,home_team,2023,285,,,10.961731969380226,
total,home_team,2024,285,,,10.121922274228735,
total,home_team,2025,285,,,11.001621913516544,
total,home_team,2026,30,,,12.816075339465613,
total,lightgbm,2017,267,,,12.085516838689605,
total,lightgbm,2018,267,,,11.19602608283064,
total,lightgbm,2019,267,,,11.269283348873996,
total,lightgbm,2020,269,,,11.57759020378795,
total,lightgbm,2021,285,,,11.196297199542409,
total,lightgbm,2022,284,,,11.285113681175135,
total,lightgbm,2023,285,,,10.990043534050502,
total,lightgbm,2024,285,,,10.223984394335396,
total,lightgbm,2025,285,,,11.195878544495663,
total,lightgbm,2026,30,,,13.612930303240443,
total,lightgbm_coherent,2017,267,,,12.085516838689605,
total,lightgbm_coherent,2018,267,,,11.19602608283064,
total,lightgbm_coherent,2019,267,,,11.269283348873996,
total,lightgbm_coherent,2020,269,,,11.57759020378795,
total,lightgbm_coherent,2021,285,,,11.196297199542409,
total,lightgbm_coherent,2022,284,,,11.285113681175135,
total,lightgbm_coherent,2023,285,,,10.990043534050502,
total,lightgbm_coherent,2024,285,,,10.223984394335396,
total,lightgbm_coherent,2025,285,,,11.195878544495663,
total,lightgbm_coherent,2026,30,,,13.612930303240443,
total,lightgbm_plus_vegas,2017,267,,,11.822830407687158,
total,lightgbm_plus_vegas,2018,267,,,10.925640853980113,
total,lightgbm_plus_vegas,2019,267,,,11.17660933735635,
total,lightgbm_plus_vegas,2020,269,,,10.680999066182709,
total,lightgbm_plus_vegas,2021,285,,,11.115820824611061,
total,lightgbm_plus_vegas,2022,284,,,10.68921994945089,
total,lightgbm_plus_vegas,2023,285,,,10.206513596768255,
total,lightgbm_plus_vegas,2024,285,,,10.053466822815649,
total,lightgbm_plus_vegas,2025,285,,,10.623862225699476,
total,lightgbm_plus_vegas,2026,30,,,11.935510463688878,
total,linear,2017,267,,,11.99375982212472,
total,linear,2018,267,,,11.309132305123232,
total,linear,2019,267,,,11.473416802176807,
total,linear,2020,269,,,10.94622733337622,
total,linear,2021,285,,,11.081578892647913,
total,linear,2022,284,,,11.06526307550337,
total,linear,2023,285,,,10.755198966792324,
total,linear,2024,285,,,10.2842893877595,
total,linear,2025,285,,,10.99552038214423,
total,linear,2026,30,,,13.165074943221699,
total,linear_coherent,2017,267,,,11.99375982212472,
total,linear_coherent,2018,267,,,11.309132305123232,
total,linear_coherent,2019,267,,,11.473416802176807,
total,linear_coherent,2020,269,,,10.94622733337622,
total,linear_coherent,2021,285,,,11.081578892647913,
total,linear_coherent,2022,284,,,11.06526307550337,
total,linear_coherent,2023,285,,,10.755198966792324,
total,linear_coherent,2024,285,,,10.2842893877595,
total,linear_coherent,2025,285,,,10.99552038214423,
total,linear_coherent,2026,30,,,13.165074943221699,
total,linear_plus_vegas,2017,267,,,11.927708268844578,
total,linear_plus_vegas,2018,267,,,10.655070259191003,
total,linear_plus_vegas,2019,267,,,11.201166992608908,
total,linear_plus_vegas,2020,269,,,10.376550483780294,
total,linear_plus_vegas,2021,285,,,10.96220705120303,
total,linear_plus_vegas,2022,284,,,10.408921269006921,
total,linear_plus_vegas,2023,285,,,10.068501479303507,
total,linear_plus_vegas,2024,285,,,9.952915882545316,
total,linear_plus_vegas,2025,285,,,10.551295451565238,
total,linear_plus_vegas,2026,30,,,11.247045026274577,
total,vegas,2017,267,,,11.256554307116104,
total,vegas,2018,267,,,10.719101123595506,
total,vegas,2019,267,,,10.784644194756554,
total,vegas,2020,269,,,10.302973977695167,
total,vegas,2021,285,,,10.807017543859649,
total,vegas,2022,284,,,10.397887323943662,
total,vegas,2023,285,,,10.16842105263158,
total,vegas,2024,285,,,9.76842105263158,
total,vegas,2025,285,,,10.42280701754386,
total,vegas,2026,30,,,10.933333333333334,
win,elo,2017,267,0.6629213483146067,0.6234262145894403,,
win,elo,2018,267,0.6264150943396226,0.6344902124039249,,
win,elo,2019,267,0.6428571428571429,0.6394127555200715,,
win,elo,2020,269,0.6529850746268657,0.6208000390837718,,
win,elo,2021,285,0.6091549295774648,0.6537002807085979,,
win,elo,2022,284,0.6382978723404256,0.6358905243026388,,
